TD Garden,Lewis Wharf - Atlantic Ave,Rowes Wharf - Atlantic Ave.,Aquarium Station - 200 Atlantic Ave.,Cross St. at Hanover St. ,Boylston St. at Arlington St. ,Boylston St.  / Berkeley St. ,South Station - 700 Atlantic Ave,Seaport Hotel,Boston Public Library - 700 Boylston St. ,Congress/Sleeper,Post Office Square,Seaport Square - Seaport Blvd. at Boston Wharf,Summer St. / Arch St. ,Faneuil Hall - Union St. at North St. ,Charles Circle - Charles St. at Cambridge St. ,Tremont St. / West St.,Newbury St. / Hereford St. ,Stuart St. at Charles St. ,Beacon St. / Mass Ave,The Esplanade - Beacon St. at Arlington St. ,Kenmore Sq. /Comm Ave,Mayor Thomas M. Menino  - Government Center,Washington St. at Rutland St. ,Tremont St / W Newton St. ,Back Bay / South End Station,Roxbury Crossing Station,Columbus Ave. at Mass Ave.,Christian Science Plaza,Washington St. at Waltham St. ,Prudential Center / Belvidere,Boston Medical Center - 721 Mass. Ave,Agganis Arena - 925 Comm. Ave.,B.U. Central - 725 Comm Ave,Packard's Corner - Comm. Ave at Brighton Ave. ,Landmark Centre
2690,2312,1629,1413,1306,1171,1009,1008,869,746,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,,1367,798,,830,,2473,,,1150,1119,995,704,691,,,,,,,,,,,,,,,,,,,,,
,,,,,814,,989,,1937,,,,,539,749,617,579,556,541,535,,,,,,,,,,,,,,,
706,,567,,,1568,,1273,,618,,,,,,482,453,694,,,,526,432,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,394,,,,,1253,794,700,663,659,594,479,429,399,,,,
551,,,,409,549,,,,869,,,,,,,1479,,418,770,462,446,326,,,,,,,,,,,,,
,,,,,,,,,503,,,,,,,,,,,,956,,,,,,,,,,,1066,951,829,452
,,,,,469,,,,,,,,,,417,,389,,,385,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Stuart St. at Charles St. ,,,,,,,,,,,,



South Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD Garden - Legends Way: 21343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Public Library - 700 Boylston St.: 21334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boylston St. at Arlington St. Total Departures: 16,366",,
"Back Bay / South End Station Total Departures: 14,456",,
"Charles Circle - Charles St. at Cambridge St. Total Departures: 13,616",,
"Kenmore Square / Comm Ave. Total Departures: 13,108",,
"Beacon St. / Mass Ave. Total Departures: 12,589",,

Top Arrival Stations,,
1,Beacon St. / Mass. Ave,1322
2,Charles Circle - Charles St. at Cambridge St.,660
3,Boston Public Library - 700 Boylston St.,618
4,Kenmore Sq. / Comm Ave,545
5,Boylston St. at Arlington St.,455
6,MIT at Mass Ave / Amherst St.,446
7,The Esplanade - Beacon St. at Arlington St.,384
8,TD Garden - Legends Way,333
9,Christian Science Plaza,324
10,Boylston / Mass Ave,308

"Lewis Wharf - Atlantic Ave. Total Departures: 12,288",,

Top Arrival Stations,,
1,South Station - 700 Atlantic Ave.,2369
2,Rowes Wharf - Atlantic Ave,895
3,Lewis Wharf - Atlantic Ave.,876
4,TD Garden - Legends Way,656
5,Post Office Square,524
6,Congress / Sleeper,473
7,Seaport Square - Seaport Blvd. at Boston Wharf,464
8,Fanueil Hall - Union St. at North St. ,448
9,Aquarium Station - 200 Atlantic Ave.,431
10,Chinatown Gate Plaza - Surface Rd. at Beach St. ,413

"Newbury St. / Hereford St. Total Departures: 12,262",,

Top Arrival Stations,,
1,Newbury St. / Hereford St. ,1159
2,Boylston St. at Arlington St.,626
3,Boston Public Library - 700 Boylston St. ,549
4,Washington St. at Rutland St.,465
5,Kenmore Sq / Comm Ave.,437
6,Yawkey Way at Boylston St. ,397
7,Packard's Corner - Comm Ave. at Brighton Ave.,361
8,Charles Circle - Charles St. at Cambridge St.,322
9,Landmark Centre,307
10,Stuart St. at Charles St. ,299
